        Energy   CumulativeEnergy
      2.4142150      2090.7102
      2.4142150      2093.1244
      2.4142150      2095.5386
      2.4142150      2097.9528
      2.4142150      2100.3671
      2.4142150      2102.7813
      2.4142150      2105.1955
      2.4142150      2107.6097
      2.4142150      2110.0239
      2.4142150      2112.4381
      2.4142150      2114.8523
      2.4142150      2117.2666
      2.4142150      2119.6808
      2.4142150      2122.0950
      2.4142150      2124.5092
      2.4142150      2126.9234
      2.4142150      2129.3376
      2.4142150      2131.7518
      2.4142150      2134.1661
      2.4142150      2136.5803
      2.4142150      2138.9945
      2.4142150      2141.4087
      2.4142150      2143.8229
      2.4142150      2146.2371
      2.4142150      2148.6514
      2.4142150      2151.0656
      2.4142150      2153.4798
      2.4142150      2155.8940
      2.4142150      2158.3082
      2.4142150      2160.7224
      2.4142150      2163.1366
      2.4142150      2165.5509
      2.4142150      2167.9651
      2.4142150      2170.3793
      2.4142150      2172.7935
      2.4142150      2175.2077
      2.4142150      2177.6219
      2.4142150      2180.0361
      2.4142150      2182.4504
      2.4142150      2184.8646
      2.4142150      2187.2788
      2.4142150      2189.6930
      2.4142150      2192.1072
      2.4142150      2194.5214
      2.4142150      2196.9356
      2.4142150      2199.3499
      2.4142150      2201.7641
      2.4142150      2204.1783
      2.4142150      2206.5925
      2.4142150      2209.0067
      2.4142150      2211.4209
      2.4142150      2213.8352
      2.4142150      2216.2494
      2.4142150      2218.6636
      2.4142150      2221.0778
      2.4142150      2223.4920
      2.4142150      2225.9062
      2.4142150      2228.3204
      2.4142150      2230.7347
      2.4142150      2233.1489
      2.4142150      2235.5631
      2.4142150      2237.9773
      2.4142150      2240.3915
      2.4142150      2242.8057
      2.4142150      2245.2199
      2.4142150      2247.6342
      2.4142150      2250.0484
      2.4142150      2252.4626
      2.4142150      2254.8768
      2.4142150      2257.2910
      2.4142150      2259.7052
      2.4142150      2262.1195
      2.4142150      2264.5337
      2.4142150      2266.9479
      2.4142150      2269.3621
      2.4142150      2271.7763
      2.4142150      2274.1905
      2.4142150      2276.6047
      2.4142150      2279.0190
      2.4142150      2281.4332
      2.4142150      2283.8474
      2.4142150      2286.2616
      2.4142150      2288.6758
      2.4142150      2291.0900
      2.4142150      2293.5042
      2.4142150      2295.9185
      2.4142150      2298.3327
      2.4142150      2300.7469
      2.4142150      2303.1611
      2.4142150      2305.5753
      2.4142150      2307.9895
      2.4142150      2310.4038
      2.4142150      2312.8180
      2.4142150      2315.2322
      2.4142150      2317.6464
      2.4142150      2320.0606
      2.4142150      2322.4748
      2.4142150      2324.8890
      2.4142150      2327.3033
      2.4142150      2329.7175
      2.4142150      2332.1317
      2.4142150      2334.5459
      2.4142150      2336.9601
      2.4142150      2339.3743
      2.4142150      2341.7885
      2.4142150      2344.2028
      2.4142150      2346.6170
      2.4142150      2349.0312
      2.4142150      2351.4454
      2.4142150      2353.8596
      2.4142150      2356.2738
      2.4142150      2358.6881
      2.4142150      2361.1023
      2.4142150      2363.5165
      2.4142150      2365.9307
      2.4142150      2368.3449
      2.4142150      2370.7591
      2.4142150      2373.1733
      2.4142150      2375.5876
      2.4142150      2378.0018
      2.4142150      2380.4160
      2.4142150      2382.8302
      2.4142150      2385.2444
      2.4142150      2387.6586
      2.4142150      2390.0728
      2.4142150      2392.4871
      2.4142150      2394.9013
      2.4142150      2397.3155
      2.4142150      2399.7297
      2.4142150      2402.1439
      2.4142150      2404.5581
      2.4142150      2406.9724
      2.4142150      2409.3866
      2.4142150      2411.8008
      2.4142150      2414.2150
